"payment_id";"guest_id";"room_number";"payment_amount";"payment_date";"payment_type"
"P000937";"G00887";110;288.31;"2026-02-28";"Card"
"P000938";"G00888";215;254.46;"2026-04-11";"Card"
"P000939";"G00888";215;138.55;"2026-04-11";"Card"
"P000940";"G00889";525;138.85;"2026-03-06";"Cash"
"P000941";"G00890";322;179.36;"2026-06-22";"Card"
"P000942";"G00891";321;254.16;"2026-02-21";"Card"
"P000943";"G00892";211;46.56;"2026-04-02";"Stripe"
"P000944";"G00892";211;26.09;"2026-04-02";"Card"
"P000945";"G00892";211;64.14;"2026-04-02";"Card"
"P000946";"G00894";303;152.89;"2026-01-24";"Stripe"
"P000947";"G00895";209;36.48;"2026-05-11";"Card"
"P000948";"G00895";209;41.38;"2026-05-11";"Card"
"P000949";"G00896";127;154.93;"2026-01-05";"Card"
"P000950";"G00897";404;49.24;"2026-01-18";"Card"
"P000951";"G00899";304;157.45;"2026-01-20";"Stripe"
"P000952";"G00900";405;35.09;"2026-05-09";"Card"
"P000953";"G00901";407;66.49;"2026-01-04";"Card"
"P000954";"G00902";213;346.97;"2026-01-20";"Card"
"P000955";"G00903";225;142.14;"2026-04-24";"Card"
"P000956";"G00904";308;85.64;"2026-03-23";"Card"
"P000957";"G00905";310;21.04;"2026-05-05";"Cash"
"P000958";"G00906";507;254.77;"2026-03-29";"Stripe"
"P000959";"G00908";403;5.0;"2026-06-25";"Card"
"P000960";"G00909";216;56.41;"2026-01-29";"Cash"
"P000961";"G00909";216;79.1;"2026-01-26";"Card"
"P000962";"G00910";327;92.36;"2026-02-13";"Stripe"
"P000963";"G00911";420;282.59;"2026-06-20";"Card"
"P000964";"G00913";310;83.2;"2026-03-28";"Stripe"
"P000965";"G00914";220;40.67;"2026-02-16";"Card"
"P000966";"G00915";430;139.64;"2026-04-06";"Cash"
"P000967";"G00916";115;97.84;"2026-03-18";"Card"
"P000968";"G00918";427;305.75;"2026-03-13";"Stripe"
"P000969";"G00919";222;143.64;"2026-04-20";"Cash"
"P000970";"G00920";231;136.82;"2026-02-01";"Cash"
"P000971";"G00921";424;20.73;"2026-04-27";"Card"
"P000972";"G00922";218;16.88;"2026-05-15";"Card"
"P000973";"G00923";518;61.95;"2026-01-12";"Cash"
"P000974";"G00925";319;184.17;"2026-06-06";"Card"
"P000975";"G00925";319;203.25;"2026-06-06";"Card"
"P000976";"G00926";407;31.23;"2026-06-17";"Card"
"P000977";"G00927";431;101.59;"2026-01-21";"Stripe"
"P000978";"G00928";516;62.73;"2026-05-01";"Cash"
"P000979";"G00928";516;51.02;"2026-05-01";"Stripe"
"P000980";"G00928";516;110.98;"2026-05-01";"Card"
"P000981";"G00929";503;85.25;"2026-04-13";"Cash"
"P000982";"G00929";503;74.44;"2026-04-08";"Card"
"P000983";"G00930";513;265.11;"2026-02-28";"Card"
"P000984";"G00931";128;111.34;"2026-01-06";"Card"
"P000985";"G00932";309;9.33;"2026-02-20";"Card"
"P000986";"G00933";418;169.13;"2026-05-02";"Stripe"
"P000987";"G00935";121;264.43;"2026-01-06";"Card"
"P000988";"G00937";411;61.83;"2026-05-16";"Card"
"P000989";"G00938";225;76.33;"2026-04-15";"Card"
"P000990";"G00940";525;75.05;"2026-06-19";"Card"
"P000991";"G00941";410;147.73;"2026-02-24";"Card"
"P000992";"G00942";406;22.6;"2026-04-03";"Card"
"P000993";"G00943";409;89.75;"2026-04-15";"Stripe"
"P000994";"G00944";324;230.15;"2026-03-09";"Stripe"
"P000995";"G00945";434;49.89;"2026-03-21";"Card"
"P000996";"G00945";434;145.68;"2026-03-21";"Stripe"
"P000997";"G00948";203;39.43;"2026-05-21";"Card"
"P000998";"G00949";230;51.83;"2026-05-15";"Card"
"P000999";"G00950";304;84.16;"2026-06-15";"Card"
"P001000";"G00951";514;35.66;"2026-02-20";"Stripe"
"P001001";"G00951";514;75.76;"2026-02-20";"Stripe"
"P001002";"G00952";321;86.83;"2026-02-15";"Card"
"P001003";"G00952";321;153.57;"2026-02-17";"Card"
"P001004";"G00954";111;191.23;"2026-06-20";"Stripe"
"P001005";"G00955";107;286.79;"2026-03-02";"Card"
"P001006";"G00956";533;140.95;"2026-04-07";"Card"
"P001007";"G00957";423;34.5;"2026-03-14";"Stripe"
"P001008";"G00958";502;86.01;"2026-04-25";"Card"
"P001009";"G00960";411;42.7;"2026-04-30";"Card"
"P001010";"G00961";329;115.04;"2026-06-12";"Card"
"P001011";"G00962";502;280.27;"2026-06-02";"Stripe"
"P001012";"G00964";213;43.71;"2026-03-26";"Card"
"P001013";"G00965";214;141.92;"2026-05-14";"Card"
"P001014";"G00966";406;59.93;"2026-04-02";"Card"
"P001015";"G00967";118;178.41;"2026-01-04";"Card"
"P001016";"G00968";104;153.84;"2026-02-08";"Card"
"P001017";"G00970";420;40.49;"2026-01-28";"Card"
"P001018";"G00971";229;73.02;"2026-05-16";"Card"
"P001019";"G00971";229;184.77;"2026-05-17";"Card"
"P001020";"G00972";526;18.99;"2026-05-19";"Stripe"
"P001021";"G00973";513;54.15;"2026-06-25";"Card"
"P001022";"G00976";511;119.08;"2026-04-24";"Card"
"P001023";"G00977";430;12.12;"2026-06-01";"Cash"
"P001024";"G00977";430;9.55;"2026-06-01";"Cash"
"P001025";"G00978";314;140.63;"2026-04-25";"Cash"
"P001026";"G00979";515;44.84;"2026-06-21";"Card"
"P001027";"G00981";408;124.6;"2026-03-23";"Stripe"
"P001028";"G00982";412;33.09;"2026-06-11";"Card"
"P001029";"G00984";413;206.44;"2026-01-29";"Stripe"
"P001030";"G00986";119;74.17;"2026-03-26";"Stripe"
"P001031";"G00986";119;84.02;"2026-03-26";"Card"
"P001032";"G00987";118;286.42;"2026-04-16";"Card"
"P001033";"G00987";118;209.32;"2026-04-16";"Card"
"P001034";"G00988";423;133.09;"2026-04-21";"Card"
"P001035";"G00989";512;18.07;"2026-05-22";"Card"
"P001036";"G00992";402;149.04;"2026-02-28";"Card"
"P001037";"G00993";209;114.97;"2026-01-10";"Card"
"P001038";"G00994";133;345.16;"2026-01-28";"Card"
"P001039";"G00995";117;36.33;"2026-04-13";"Cash"
"P001040";"G00996";413;159.04;"2026-06-12";"Card"
"P001041";"G00998";405;9.89;"2026-03-12";"Stripe"
"P001042";"G00999";316;11.64;"2026-05-15";"Card"
"P001043";"G01000";329;172.63;"2026-06-11";"Stripe"
"P001044";"G01001";328;142.51;"2026-06-16";"Cash"
"P001045";"G01002";324;24.13;"2026-03-31";"Card"
"P001046";"G01003";103;85.99;"2026-02-01";"Card"
"P001047";"G01005";515;299.03;"2026-05-22";"Stripe"
"P001048";"G01006";219;71.05;"2026-04-24";"Card"
"P001049";"G01007";130;105.18;"2026-01-09";"Card"
"P001050";"G01008";225;174.38;"2026-05-25";"Card"
"P001051";"G01009";229;21.6;"2026-06-02";"Card"
"P001052";"G01010";103;238.61;"2026-02-21";"Stripe"
"P001053";"G01011";201;192.71;"2026-02-16";"Stripe"
"P001054";"G01012";506;93.16;"2026-03-24";"Card"
"P001055";"G01013";221;105.36;"2026-05-16";"Card"
"P001056";"G01015";101;33.89;"2026-01-31";"Stripe"
"P001057";"G01016";314;26.5;"2026-03-13";"Card"
"P001058";"G01018";223;19.84;"2026-06-18";"Card"
"P001059";"G01019";216;184.95;"2026-01-30";"Card"
"P001060";"G01020";503;333.39;"2026-02-07";"Card"
"P001061";"G01021";521;111.88;"2026-05-03";"Card"
"P001062";"G01022";101;126.81;"2026-05-07";"Card"
"P001063";"G01023";113;141.29;"2026-03-20";"Card"
"P001064";"G01024";129;99.02;"2026-04-11";"Cash"
"P001065";"G01025";533;24.49;"2026-05-27";"Stripe"
"P001066";"G01026";408;161.33;"2026-04-07";"Stripe"
"P001067";"G01027";201;28.87;"2026-01-22";"Card"
"P001068";"G01027";201;65.89;"2026-01-28";"Card"
"P001069";"G01028";215;114.21;"2026-06-08";"Card"
"P001070";"G01028";215;138.9;"2026-06-08";"Card"
"P001071";"G01029";217;175.11;"2026-01-06";"Stripe"
"P001072";"G01030";222;238.72;"2026-03-25";"Card"
"P001073";"G01031";120;58.96;"2026-06-25";"Card"
"P001074";"G01032";122;139.16;"2026-03-17";"Card"
"P001075";"G01032";122;154.97;"2026-03-17";"Cash"
"P001076";"G01032";122;155.24;"2026-03-17";"Cash"
"P001077";"G01033";326;13.73;"2026-05-24";"Card"
"P001078";"G01034";331;264.82;"2026-06-05";"Card"
"P001079";"G01035";502;62.68;"2026-05-10";"Card"
"P001080";"G01035";502;76.66;"2026-05-10";"Card"
"P001081";"G01036";520;222.87;"2026-03-05";"Stripe"
"P001082";"G01037";522;161.34;"2026-06-22";"Stripe"
"P001083";"G01038";401;177.89;"2026-01-27";"Cash"
"P001084";"G01039";129;240.24;"2026-05-13";"Card"
"P001085";"G01040";115;80.14;"2026-03-29";"Card"
"P001086";"G01040";115;50.32;"2026-03-29";"Card"
"P001087";"G01042";107;96.21;"2026-05-08";"Card"
"P001088";"G01043";420;162.91;"2026-06-22";"Card"
"P001089";"G01044";313;16.19;"2026-06-12";"Card"
"P001090";"G01044";313;14.32;"2026-06-12";"Card"
"P001091";"G01045";517;63.31;"2026-05-22";"Card"
"P001092";"G01045";517;96.83;"2026-05-25";"Stripe"
"P001093";"G01046";312;166.16;"2026-06-28";"Card"
"P001094";"G01047";430;175.53;"2026-05-16";"Card"
"P001095";"G01048";207;127.92;"2026-03-18";"Card"
"P001096";"G01049";323;204.39;"2026-02-08";"Card"
"P001097";"G01050";329;195.5;"2026-06-22";"Card"
"P001098";"G01051";531;183.72;"2026-05-19";"Card"
"P001099";"G01052";226;95.97;"2026-05-06";"Cash"
"P001100";"G01053";520;48.5;"2026-05-07";"Stripe"
"P001101";"G01054";202;309.95;"2026-06-12";"Stripe"
"P001102";"G01055";403;58.32;"2026-05-13";"Card"
"P001103";"G01055";403;53.36;"2026-05-11";"Cash"
"P001104";"G01056";219;172.52;"2026-02-14";"Card"
"P001105";"G01057";206;21.72;"2026-04-12";"Stripe"
"P001106";"G01058";211;15.11;"2026-01-01";"Stripe"
"P001107";"G01060";330;186.47;"2026-02-14";"Card"
"P001108";"G01061";319;0.58;"2026-03-30";"Card"
"P001109";"G01062";301;75.89;"2026-04-08";"Card"
"P001110";"G01064";125;410.17;"2026-04-13";"Card"
"P001111";"G01065";102;77.37;"2026-04-07";"Card"
"P001112";"G01065";102;72.77;"2026-04-09";"Card"
"P001113";"G01066";305;143.75;"2026-04-06";"Card"
"P001114";"G01067";430;145.4;"2026-02-28";"Stripe"
"P001115";"G01068";426;217.37;"2026-02-05";"Card"
"P001116";"G01069";426;86.16;"2026-03-18";"Stripe"
"P001117";"G01071";123;181.43;"2026-06-21";"Stripe"
"P001118";"G01073";522;18.9;"2026-02-28";"Card"
"P001119";"G01073";522;15.61;"2026-02-28";"Card"
"P001120";"G01073";522;36.57;"2026-02-25";"Card"
"P001121";"G01074";105;82.99;"2026-02-02";"Card"
"P001122";"G01075";329;15.17;"2026-03-19";"Stripe"
"P001123";"G01076";128;294.8;"2026-02-28";"Card"
"P001124";"G01077";423;30.34;"2026-06-03";"Card"
"P001125";"G01078";509;65.53;"2026-01-16";"Card"
"P001126";"G01078";509;84.76;"2026-01-15";"Card"
"P001127";"G01079";119;20.92;"2026-02-01";"Card"
"P001128";"G01080";403;39.59;"2026-03-16";"Cash"
"P001129";"G01080";403;25.18;"2026-03-16";"Card"
"P001130";"G01081";330;130.55;"2026-01-04";"Stripe"
"P001131";"G01082";304;24.87;"2026-05-01";"Stripe"
"P001132";"G01083";113;131.03;"2026-06-24";"Card"
"P001133";"G01084";107;353.77;"2026-06-03";"Card"
"P001134";"G01085";233;29.53;"2026-01-25";"Cash"
"P001135";"G01086";323;26.21;"2026-03-14";"Stripe"
"P001136";"G01087";306;234.3;"2026-05-15";"Card"
"P001137";"G01088";508;3.91;"2026-04-12";"Stripe"
"P001138";"G01089";115;96.47;"2026-03-14";"Card"
"P001139";"G01090";524;364.52;"2026-01-07";"Card"
"P001140";"G01091";317;192.39;"2026-01-28";"Card"
"P001141";"G01092";215;84.63;"2026-02-17";"Card"
"P001142";"G01093";519;101.35;"2026-02-01";"Card"
"P001143";"G01094";329;18.15;"2026-02-12";"Card"
"P001144";"G01095";209;2.93;"2026-03-19";"Card"
"P001145";"G01095";209;3.55;"2026-03-18";"Card"
"P001146";"G01095";209;5.18;"2026-03-19";"Card"
"P001147";"G01099";403;61.06;"2026-06-24";"Card"
"P001148";"G01100";431;52.15;"2026-02-13";"Card"
"P001149";"G01100";431;29.76;"2026-02-14";"Card"
"P001150";"G01100";431;78.24;"2026-02-14";"Card"
"P001151";"G01101";411;104.36;"2026-03-20";"Card"
"P001152";"G01102";414;101.74;"2026-06-02";"Card"
"P001153";"G01102";414;151.86;"2026-06-02";"Card"
"P001154";"G01104";330;88.83;"2026-06-30";"Stripe"
"P001155";"G01104";330;59.69;"2026-06-29";"Card"
"P001156";"G01105";123;94.88;"2026-02-05";"Card"
"P001157";"G01106";102;79.51;"2026-04-23";"Card"
"P001158";"G01107";402;170.7;"2026-06-20";"Stripe"
"P001159";"G01108";111;191.0;"2026-03-04";"Card"
"P001160";"G01109";112;160.73;"2026-03-29";"Card"
"P001161";"G01110";504;452.05;"2026-03-15";"Card"
"P001162";"G01111";223;64.25;"2026-01-11";"Stripe"
"P001163";"G01112";519;26.15;"2026-04-16";"Cash"
"P001164";"G01113";110;224.2;"2026-01-22";"Card"
"P001165";"G01114";520;11.81;"2026-05-11";"Card"
"P001166";"G01115";112;40.73;"2026-02-27";"Card"
"P001167";"G01115";112;54.11;"2026-02-27";"Card"
"P001168";"G01116";512;298.3;"2026-05-21";"Stripe"
"P001169";"G01117";317;56.69;"2026-05-04";"Stripe"
"P001170";"G01117";317;42.53;"2026-05-04";"Card"
"P001171";"G01118";215;62.94;"2026-03-12";"Cash"
"P001172";"G01118";215;112.58;"2026-03-12";"Stripe"
"P001173";"G01119";421;65.44;"2026-05-24";"Stripe"
"P001174";"G01120";129;52.5;"2026-04-14";"Stripe"
"P001175";"G01122";328;64.59;"2026-03-24";"Card"
"P001176";"G01122";328;70.57;"2026-03-23";"Stripe"
"P001177";"G01122";328;77.56;"2026-03-24";"Card"
"P001178";"G01123";110;22.73;"2026-01-06";"Card"
"P001179";"G01124";411;74.78;"2026-03-06";"Card"
"P001180";"G01125";514;174.22;"2026-03-28";"Card"
"P001181";"G01126";511;185.33;"2026-04-20";"Cash"
"P001182";"G01127";530;23.82;"2026-01-12";"Stripe"
"P001183";"G01128";128;109.59;"2026-06-24";"Card"
"P001184";"G01129";201;272.13;"2026-01-15";"Card"
"P001185";"G01130";314;145.95;"2026-02-25";"Stripe"
"P001186";"G01131";219;51.21;"2026-06-18";"Card"
"P001187";"G01132";225;20.52;"2026-04-01";"Card"
"P001188";"G01133";522;216.85;"2026-03-05";"Card"
"P001189";"G01134";133;10.32;"2026-06-08";"Stripe"
"P001190";"G01135";432;231.95;"2026-05-09";"Card"
"P001191";"G01136";415;123.3;"2026-03-25";"Card"
"P001192";"G01136";415;161.28;"2026-03-25";"Card"
"P001193";"G01137";313;100.37;"2026-02-17";"Card"
"P001194";"G01137";313;76.02;"2026-02-17";"Card"
"P001195";"G01138";124;43.82;"2026-01-09";"Cash"
"P001196";"G01139";427;117.08;"2026-02-06";"Cash"
"P001197";"G01140";308;320.01;"2026-06-23";"Card"
"P001198";"G01141";429;25.2;"2026-04-11";"Card"
"P001199";"G01141";429;63.55;"2026-04-11";"Card"
"P001200";"G01142";512;50.41;"2026-03-20";"Card"
"P001201";"G01142";512;73.15;"2026-03-19";"Stripe"
"P001202";"G01143";334;118.15;"2026-04-01";"Stripe"
"P001203";"G01144";124;90.89;"2026-01-29";"Stripe"
"P001204";"G01145";525;111.67;"2026-01-07";"Card"
"P001205";"G01146";232;116.75;"2026-04-23";"Cash"
"P001206";"G01147";208;171.45;"2026-05-24";"Card"
"P001207";"G01148";527;165.76;"2026-05-06";"Card"
"P001208";"G01149";324;118.53;"2026-06-08";"Stripe"
"P001209";"G01150";106;24.7;"2026-05-02";"Card"
"P001210";"G01150";106;62.48;"2026-05-06";"Card"
"P001211";"G01151";225;19.38;"2026-06-11";"Card"
"P001212";"G01152";407;27.14;"2026-01-02";"Stripe"
"P001213";"G01152";407;59.6;"2026-01-04";"Card"
"P001214";"G01153";526;85.55;"2026-01-03";"Card"
"P001215";"G01153";526;111.27;"2026-01-03";"Card"
"P001216";"G01154";209;109.14;"2026-01-26";"Card"
"P001217";"G01155";331;147.86;"2026-01-29";"Card"
"P001218";"G01156";204;223.78;"2026-05-07";"Stripe"
"P001219";"G01157";206;87.58;"2026-04-17";"Card"
"P001220";"G01158";403;199.47;"2026-01-21";"Card"
"P001221";"G01160";106;131.52;"2026-05-14";"Card"
"P001222";"G01161";115;9.69;"2026-06-24";"Card"
"P001223";"G01161";115;28.71;"2026-06-18";"Card"
"P001224";"G01162";230;125.17;"2026-05-24";"Card"
"P001225";"G01163";410;46.77;"2026-03-23";"Stripe"
"P001226";"G01164";126;52.72;"2026-06-26";"Card"
"P001227";"G01164";126;39.42;"2026-06-23";"Stripe"
"P001228";"G01165";322;58.95;"2026-01-30";"Card"
"P001229";"G01166";210;101.41;"2026-06-10";"Cash"
"P001230";"G01166";210;180.47;"2026-06-10";"Cash"
"P001231";"G01167";221;121.18;"2026-02-24";"Card"
"P001232";"G01168";120;114.4;"2026-06-21";"Cash"
"P001233";"G01169";203;98.81;"2026-04-16";"Card"
"P001234";"G01170";421;7.3;"2026-06-19";"Card"
"P001235";"G01171";306;121.52;"2026-06-30";"Stripe"
"P001236";"G01172";330;91.75;"2026-01-26";"Stripe"
"P001237";"G01173";323;96.84;"2026-04-02";"Cash"
"P001238";"G01173";323;110.42;"2026-04-02";"Stripe"
"P001239";"G01174";319;128.06;"2026-05-17";"Card"
"P001240";"G01176";130;165.41;"2026-01-10";"Card"
"P001241";"G01177";412;4.84;"2026-06-20";"Card"
"P001242";"G01178";116;54.91;"2026-02-22";"Card"
"P001243";"G01179";117;69.85;"2026-06-28";"Card"
"P001244";"G01180";522;146.85;"2026-05-29";"Card"
"P001245";"G01181";105;68.63;"2026-05-18";"Card"
"P001246";"G01183";508;58.99;"2026-05-14";"Card"
"P001247";"G01183";508;53.31;"2026-05-14";"Stripe"
"P001248";"G01184";215;66.76;"2026-01-19";"Card"
"P001249";"G01184";215;29.88;"2026-01-14";"Card"
"P001250";"G01184";215;25.68;"2026-01-19";"Card"
"P001251";"G01185";327;121.03;"2026-05-21";"Card"
"P001252";"G01186";214;36.92;"2026-04-30";"Card"
"P001253";"G01187";307;281.72;"2026-01-12";"Card"
"P001254";"G01188";531;206.01;"2026-02-05";"Card"
"P001255";"G01189";109;90.92;"2026-06-13";"Card"
"P001256";"G01190";128;107.82;"2026-01-31";"Stripe"
"P001257";"G01191";505;400.03;"2026-01-26";"Cash"
"P001258";"G01192";304;139.04;"2026-04-21";"Stripe"
"P001259";"G01193";212;218.95;"2026-03-24";"Card"
"P001260";"G01195";411;157.73;"2026-03-29";"Card"
"P001261";"G01195";411;203.85;"2026-03-29";"Card"
"P001262";"G01196";107;25.08;"2026-02-05";"Stripe"
"P001263";"G01197";318;116.03;"2026-04-27";"Card"
"P001264";"G01198";214;122.32;"2026-03-10";"Card"
"P001265";"G01199";310;64.7;"2026-04-06";"Card"
"P001266";"G01200";308;166.95;"2026-02-16";"Stripe"
"P001267";"G01201";406;0.57;"2026-01-13";"Card"
"P001268";"G01203";513;0.56;"2026-01-07";"Card"
"P001269";"G01204";133;116.49;"2026-01-28";"Card"
"P001270";"G01206";114;199.85;"2026-03-30";"Cash"
"P001271";"G01207";118;13.89;"2026-03-22";"Card"
"P001272";"G01208";334;398.2;"2026-06-09";"Card"
"P001273";"G01209";411;4.07;"2026-06-11";"Card"
"P001274";"G01210";511;231.51;"2026-05-10";"Stripe"
"P001275";"G01211";325;68.0;"2026-01-10";"Cash"
"P001276";"G01211";325;31.5;"2026-01-11";"Cash"
"P001277";"G01211";325;31.21;"2026-01-11";"Card"
"P001278";"G01212";327;226.06;"2026-06-15";"Stripe"
"P001279";"G01213";406;125.42;"2026-04-20";"Card"
"P001280";"G01214";230;122.91;"2026-04-09";"Card"
"P001281";"G01215";112;184.13;"2026-02-20";"Cash"
"P001282";"G01219";101;111.73;"2026-05-15";"Card"
"P001283";"G01220";212;116.87;"2026-05-19";"Card"
"P001284";"G01221";529;62.3;"2026-04-06";"Card"
"P001285";"G01221";529;46.62;"2026-04-06";"Card"
"P001286";"G01222";425;84.79;"2026-04-05";"Card"
"P001287";"G01222";425;131.8;"2026-04-05";"Cash"
"P001288";"G01224";304;86.53;"2026-02-16";"Card"
"P001289";"G01225";227;90.44;"2026-04-28";"Card"
"P001290";"G01226";110;97.16;"2026-06-29";"Card"
"P001291";"G01227";322;74.63;"2026-01-25";"Stripe"
"P001292";"G01231";110;57.63;"2026-05-08";"Cash"
"P001293";"G01232";403;96.6;"2026-03-02";"Card"
"P001294";"G01232";403;96.89;"2026-03-02";"Card"
"P001295";"G01234";505;212.38;"2026-04-16";"Stripe"
"P001296";"G01235";402;44.66;"2026-04-04";"Card"
"P001297";"G01236";322;34.03;"2026-03-14";"Card"
"P001298";"G01237";412;64.31;"2026-06-02";"Stripe"
"P001299";"G01237";412;93.99;"2026-06-02";"Card"
"P001300";"G01238";517;151.0;"2026-02-12";"Stripe"
"P001301";"G01238";517;107.12;"2026-02-12";"Stripe"
"P001302";"G01239";329;135.77;"2026-04-29";"Card"
"P001303";"G01239";329;96.95;"2026-05-06";"Card"
"P001304";"G01240";207;26.73;"2026-01-11";"Stripe"
"P001305";"G01240";207;38.51;"2026-01-11";"Card"
"P001306";"G01241";210;20.61;"2026-05-04";"Stripe"
"P001307";"G01242";310;16.69;"2026-02-06";"Cash"
"P001308";"G01243";228;60.58;"2026-03-30";"Cash"
"P001309";"G01243";228;94.91;"2026-03-30";"Stripe"
"P001310";"G01244";305;28.69;"2026-05-30";"Card"
"P001311";"G01244";305;25.03;"2026-05-30";"Card"
"P001312";"G01245";328;34.17;"2026-03-09";"Stripe"
"P001313";"G01246";134;111.43;"2026-03-08";"Card"
"P001314";"G01248";217;59.23;"2026-06-01";"Card"
"P001315";"G01248";217;48.07;"2026-06-01";"Card"
"P001316";"G01248";217;76.48;"2026-06-04";"Card"
"P001317";"G01249";121;104.42;"2026-02-25";"Stripe"
"P001318";"G01250";319;196.25;"2026-02-13";"Card"
"P001319";"G01251";419;77.52;"2026-05-29";"Card"
"P001320";"G01251";419;150.24;"2026-05-29";"Card"
"P001321";"G01252";412;12.27;"2026-02-07";"Card"
"P001322";"G01253";320;198.74;"2026-06-24";"Cash"
"P001323";"G01254";327;24.26;"2026-04-03";"Card"
"P001324";"G01255";209;123.33;"2026-04-04";"Card"
"P001325";"G01256";218;150.63;"2026-01-20";"Card"
"P001326";"G01257";311;88.23;"2026-06-27";"Card"
"P001327";"G01259";422;60.84;"2026-02-01";"Stripe"
"P001328";"G01259";422;58.56;"2026-02-07";"Card"
"P001329";"G01261";315;66.9;"2026-04-05";"Card"
"P001330";"G01262";332;147.43;"2026-01-09";"Stripe"
"P001331";"G01264";109;113.68;"2026-02-08";"Stripe"
"P001332";"G01265";431;29.32;"2026-02-24";"Stripe"
"P001333";"G01267";519;12.58;"2026-02-23";"Card"
"P001334";"G01267";519;15.85;"2026-02-23";"Stripe"
"P001335";"G01268";201;138.52;"2026-04-05";"Card"
"P001336";"G01268";201;160.07;"2026-04-05";"Cash"
"P001337";"G01269";303;97.65;"2026-01-10";"Stripe"
"P001338";"G01271";323;128.36;"2026-06-23";"Card"
"P001339";"G01272";112;226.46;"2026-02-21";"Stripe"
"P001340";"G01273";402;31.63;"2026-03-29";"Card"
"P001341";"G01274";514;220.51;"2026-03-14";"Card"
"P001342";"G01275";218;155.89;"2026-01-21";"Card"
"P001343";"G01275";218;36.39;"2026-01-21";"Card"
"P001344";"G01275";218;103.81;"2026-01-21";"Stripe"
"P001345";"G01276";533;100.08;"2026-05-29";"Stripe"
"P001346";"G01277";318;328.52;"2026-06-21";"Card"
"P001347";"G01278";203;267.29;"2026-06-12";"Cash"
"P001348";"G01279";426;182.59;"2026-05-12";"Card"
"P001349";"G01280";405;41.66;"2026-06-30";"Cash"
"P001350";"G01281";121;90.33;"2026-03-04";"Cash"
"P001351";"G01282";102;26.24;"2026-06-24";"Cash"
"P001352";"G01283";405;47.97;"2026-02-13";"Card"
"P001353";"G01284";520;88.31;"2026-01-30";"Card"
"P001354";"G01285";312;22.72;"2026-04-12";"Stripe"
"P001355";"G01285";312;59.74;"2026-04-16";"Stripe"
"P001356";"G01287";117;54.69;"2026-04-08";"Card"
"P001357";"G01288";423;224.26;"2026-03-16";"Stripe"
"P001358";"G01289";227;18.03;"2026-03-26";"Card"
"P001359";"G01289";227;14.86;"2026-03-26";"Cash"
"P001360";"G01290";313;151.95;"2026-01-25";"Card"
"P001361";"G01290";313;55.91;"2026-01-26";"Card"
"P001362";"G01290";313;64.54;"2026-01-25";"Stripe"
"P001363";"G01291";518;231.74;"2026-02-10";"Card"
"P001364";"G01292";414;212.66;"2026-05-10";"Card"
"P001365";"G01293";319;69.66;"2026-02-08";"Stripe"
"P001366";"G01294";402;180.3;"2026-04-15";"Card"
"P001367";"G01295";311;112.77;"2026-01-26";"Stripe"
"P001368";"G01296";115;26.75;"2026-06-21";"Cash"
"P001369";"G01297";301;205.66;"2026-03-21";"Stripe"
"P001370";"G01298";501;74.57;"2026-06-02";"Stripe"
"P001371";"G01299";232;192.68;"2026-06-03";"Card"
"P001372";"G01300";222;16.12;"2026-01-25";"Card"
"P001373";"G01301";117;171.84;"2026-05-12";"Card"
"P001374";"G01302";332;116.97;"2026-05-24";"Card"
"P001375";"G01303";430;41.38;"2026-05-06";"Stripe"
"P001376";"G01304";131;159.25;"2026-02-12";"Cash"
"P001377";"G01306";323;49.1;"2026-06-26";"Card"
"P001378";"G01307";104;127.21;"2026-04-29";"Card"
"P001379";"G01308";318;79.5;"2026-02-27";"Card"
"P001380";"G01309";234;42.8;"2026-03-15";"Card"
"P001381";"G01310";513;116.77;"2026-05-03";"Stripe"
"P001382";"G01311";524;293.33;"2026-01-27";"Stripe"
"P001383";"G01312";530;214.26;"2026-04-03";"Card"
"P001384";"G01312";530;132.97;"2026-04-04";"Stripe"
"P001385";"G01313";425;127.0;"2026-02-27";"Cash"
"P001386";"G01313";425;92.07;"2026-02-27";"Cash"
"P001387";"G01314";403;108.04;"2026-06-22";"Card"
"P001388";"G01314";403;58.94;"2026-06-22";"Card"
"P001389";"G01315";229;39.58;"2026-04-30";"Stripe"
"P001390";"G01316";318;24.71;"2026-01-22";"Card"
"P001391";"G01316";318;44.51;"2026-01-22";"Stripe"
"P001392";"G01317";518;93.17;"2026-03-02";"Card"
"P001393";"G01318";519;71.45;"2026-06-20";"Cash"
"P001394";"G01319";328;105.15;"2026-02-26";"Stripe"
"P001395";"G01319";328;17.87;"2026-02-26";"Card"
"P001396";"G01319";328;39.3;"2026-02-26";"Card"
"P001397";"G01320";433;65.59;"2026-01-11";"Card"
"P001398";"G01321";319;101.71;"2026-04-10";"Card"
"P001399";"G01321";319;22.85;"2026-04-12";"Card"
"P001400";"G01321";319;39.24;"2026-04-10";"Card"
"P001401";"G01322";222;18.49;"2026-03-28";"Cash"
"P001402";"G01323";219;406.54;"2026-04-02";"Card"
"P001403";"G01325";509;48.16;"2026-05-16";"Card"
"P001404";"G01327";111;121.85;"2026-03-26";"Card"
"P001405";"G01328";222;233.79;"2026-06-20";"Card"
"P001406";"G01329";328;56.88;"2026-05-02";"Card"
"P001407";"G01329";328;147.64;"2026-05-02";"Stripe"
